,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,10.0,0,0.008954600000038226,"[3, 4, 2, 4, 4, 1]",0,600,0
1,200,14.0,141,0.021013499999980922,"[3, 0, 2, 4, 1, 1]",0,600,0
2,300,14.0,141,0.021013499999980922,"[3, 0, 2, 4, 1, 1]",0,600,0
3,400,14.0,141,0.021013499999980922,"[3, 0, 2, 4, 1, 1]",0,600,0
4,500,14.0,141,0.021013499999980922,"[3, 0, 2, 4, 1, 1]",0,600,0
5,600,14.0,141,0.021013499999980922,"[3, 0, 2, 4, 1, 1]",0,600,0
6,0,10.0,0,0.00010540000005221373,"[3, 4, 2, 4, 4, 1]",1,600,0
7,200,14.0,141,0.008494499999983418,"[3, 0, 2, 4, 1, 1]",1,600,0
8,300,14.0,141,0.008494499999983418,"[3, 0, 2, 4, 1, 1]",1,600,0
9,400,14.0,141,0.008494499999983418,"[3, 0, 2, 4, 1, 1]",1,600,0
10,500,14.0,141,0.008494499999983418,"[3, 0, 2, 4, 1, 1]",1,600,0
11,600,14.0,141,0.008494499999983418,"[3, 0, 2, 4, 1, 1]",1,600,0
12,0,13.0,141,0.010634900000013658,"[1, 5, 2, 4, 0, 3]",1,600,1
13,200,13.0,241,0.01811299999997118,"[1, 5, 2, 4, 0, 3]",1,600,1
14,300,13.0,241,0.01811299999997118,"[1, 5, 2, 4, 0, 3]",1,600,1
15,400,13.0,241,0.01811299999997118,"[1, 5, 2, 4, 0, 3]",1,600,1
16,500,13.0,241,0.01811299999997118,"[1, 5, 2, 4, 0, 3]",1,600,1
17,600,13.0,241,0.01811299999997118,"[1, 5, 2, 4, 0, 3]",1,600,1
18,0,10.0,0,7.49000000723754e-05,"[3, 4, 2, 4, 4, 1]",2,600,0
19,200,14.0,141,0.006109900000069501,"[3, 0, 2, 4, 1, 1]",2,600,0
20,300,14.0,141,0.006109900000069501,"[3, 0, 2, 4, 1, 1]",2,600,0
21,400,14.0,141,0.006109900000069501,"[3, 0, 2, 4, 1, 1]",2,600,0
22,500,14.0,141,0.006109900000069501,"[3, 0, 2, 4, 1, 1]",2,600,0
23,600,14.0,141,0.006109900000069501,"[3, 0, 2, 4, 1, 1]",2,600,0
24,0,13.0,141,0.008058100000084778,"[1, 5, 2, 4, 0, 3]",2,600,1
25,200,13.0,241,0.015507800000023053,"[1, 5, 2, 4, 0, 3]",2,600,1
26,300,13.0,241,0.015507800000023053,"[1, 5, 2, 4, 0, 3]",2,600,1
27,400,13.0,241,0.015507800000023053,"[1, 5, 2, 4, 0, 3]",2,600,1
28,500,13.0,241,0.015507800000023053,"[1, 5, 2, 4, 0, 3]",2,600,1
29,600,13.0,241,0.015507800000023053,"[1, 5, 2, 4, 0, 3]",2,600,1
30,0,10.0,241,0.017537000000061198,"[4, 3, 5, 1, 4, 2]",2,600,2
31,200,13.0,351,0.02752860000009605,"[4, 2, 5, 2, 4, 1]",2,600,2
32,300,13.0,351,0.02752860000009605,"[4, 2, 5, 2, 4, 1]",2,600,2
33,400,13.0,351,0.02752860000009605,"[4, 2, 5, 2, 4, 1]",2,600,2
34,500,13.0,351,0.02752860000009605,"[4, 2, 5, 2, 4, 1]",2,600,2
35,600,13.0,351,0.02752860000009605,"[4, 2, 5, 2, 4, 1]",2,600,2
36,0,10.0,0,7.019999998192361e-05,"[3, 4, 2, 4, 4, 1]",3,600,0
37,200,14.0,141,0.009211000000050262,"[3, 0, 2, 4, 1, 1]",3,600,0
38,300,14.0,141,0.009211000000050262,"[3, 0, 2, 4, 1, 1]",3,600,0
39,400,14.0,141,0.009211000000050262,"[3, 0, 2, 4, 1, 1]",3,600,0
40,500,14.0,141,0.009211000000050262,"[3, 0, 2, 4, 1, 1]",3,600,0
41,600,14.0,141,0.009211000000050262,"[3, 0, 2, 4, 1, 1]",3,600,0
42,0,13.0,141,0.0129720999999563,"[1, 5, 2, 4, 0, 3]",3,600,1
43,200,13.0,241,0.025565499999970598,"[1, 5, 2, 4, 0, 3]",3,600,1
44,300,13.0,241,0.025565499999970598,"[1, 5, 2, 4, 0, 3]",3,600,1
45,400,13.0,241,0.025565499999970598,"[1, 5, 2, 4, 0, 3]",3,600,1
46,500,13.0,241,0.025565499999970598,"[1, 5, 2, 4, 0, 3]",3,600,1
47,600,13.0,241,0.025565499999970598,"[1, 5, 2, 4, 0, 3]",3,600,1
48,0,10.0,241,0.029116700000031415,"[4, 3, 5, 1, 4, 2]",3,600,2
49,200,13.0,351,0.04640059999996993,"[4, 2, 5, 2, 4, 1]",3,600,2
50,300,13.0,351,0.04640059999996993,"[4, 2, 5, 2, 4, 1]",3,600,2
51,400,13.0,351,0.04640059999996993,"[4, 2, 5, 2, 4, 1]",3,600,2
52,500,13.0,351,0.04640059999996993,"[4, 2, 5, 2, 4, 1]",3,600,2
53,600,13.0,351,0.04640059999996993,"[4, 2, 5, 2, 4, 1]",3,600,2
54,0,10.0,351,0.050155000000017935,"[1, 0, 5, 2, 2, 0]",3,600,3
55,200,15.0,507,0.08066180000002987,"[1, 3, 5, 0, 2, 4]",3,600,3
56,300,15.0,507,0.08066180000002987,"[1, 3, 5, 0, 2, 4]",3,600,3
57,400,15.0,507,0.08066180000002987,"[1, 3, 5, 0, 2, 4]",3,600,3
58,500,15.0,507,0.08066180000002987,"[1, 3, 5, 0, 2, 4]",3,600,3
59,600,15.0,507,0.08066180000002987,"[1, 3, 5, 0, 2, 4]",3,600,3
60,0,10.0,0,9.260000001631852e-05,"[3, 4, 2, 4, 4, 1]",4,600,0
61,200,14.0,141,0.01134860000001936,"[3, 0, 2, 4, 1, 1]",4,600,0
62,300,14.0,141,0.01134860000001936,"[3, 0, 2, 4, 1, 1]",4,600,0
63,400,14.0,141,0.01134860000001936,"[3, 0, 2, 4, 1, 1]",4,600,0
64,500,14.0,141,0.01134860000001936,"[3, 0, 2, 4, 1, 1]",4,600,0
65,600,14.0,141,0.01134860000001936,"[3, 0, 2, 4, 1, 1]",4,600,0
66,0,13.0,141,0.015718600000013794,"[1, 5, 2, 4, 0, 3]",4,600,1
67,200,13.0,241,0.029350299999919116,"[1, 5, 2, 4, 0, 3]",4,600,1
68,300,13.0,241,0.029350299999919116,"[1, 5, 2, 4, 0, 3]",4,600,1
69,400,13.0,241,0.029350299999919116,"[1, 5, 2, 4, 0, 3]",4,600,1
70,500,13.0,241,0.029350299999919116,"[1, 5, 2, 4, 0, 3]",4,600,1
71,600,13.0,241,0.029350299999919116,"[1, 5, 2, 4, 0, 3]",4,600,1
72,0,10.0,241,0.03395269999998618,"[4, 3, 5, 1, 4, 2]",4,600,2
73,200,13.0,351,0.05230329999994865,"[4, 2, 5, 2, 4, 1]",4,600,2
74,300,13.0,351,0.05230329999994865,"[4, 2, 5, 2, 4, 1]",4,600,2
75,400,13.0,351,0.05230329999994865,"[4, 2, 5, 2, 4, 1]",4,600,2
76,500,13.0,351,0.05230329999994865,"[4, 2, 5, 2, 4, 1]",4,600,2
77,600,13.0,351,0.05230329999994865,"[4, 2, 5, 2, 4, 1]",4,600,2
78,0,10.0,351,0.057130400000005466,"[1, 0, 5, 2, 2, 0]",4,600,3
79,200,15.0,507,0.08839669999997568,"[1, 3, 5, 0, 2, 4]",4,600,3
80,300,15.0,507,0.08839669999997568,"[1, 3, 5, 0, 2, 4]",4,600,3
81,400,15.0,507,0.08839669999997568,"[1, 3, 5, 0, 2, 4]",4,600,3
82,500,15.0,507,0.08839669999997568,"[1, 3, 5, 0, 2, 4]",4,600,3
83,600,15.0,507,0.08839669999997568,"[1, 3, 5, 0, 2, 4]",4,600,3
84,0,7.0,507,0.0935408999999936,"[0, 0, 0, 0, 1, 5]",4,600,4
85,200,14.0,631,0.12530570000001262,"[4, 0, 3, 5, 2, 5]",4,600,4
86,300,14.0,631,0.12530570000001262,"[4, 0, 3, 5, 2, 5]",4,600,4
87,400,14.0,631,0.12530570000001262,"[4, 0, 3, 5, 2, 5]",4,600,4
88,500,14.0,631,0.12530570000001262,"[4, 0, 3, 5, 2, 5]",4,600,4
89,600,14.0,631,0.12530570000001262,"[4, 0, 3, 5, 2, 5]",4,600,4
